Datetime,open,high,low,close,volume
2026-01-21 01:50:00+00:00,23870.0,23890.0,23837.0,23855.0,138513
2026-01-21 01:55:00+00:00,23855.0,23870.0,23770.0,23775.0,329413
2026-01-21 02:00:00+00:00,23770.0,23780.0,23675.0,23700.0,248997
2026-01-21 02:05:00+00:00,23700.0,23760.0,23670.0,23720.0,370939
2026-01-21 02:10:00+00:00,23720.0,23730.0,23665.0,23720.0,315467
2026-01-21 02:15:00+00:00,23725.0,23725.0,23600.0,23630.0,191908
2026-01-21 02:20:00+00:00,23630.0,23645.0,23555.0,23560.0,228770
2026-01-21 02:25:00+00:00,23560.0,23565.0,23490.0,23505.0,308098
2026-01-21 02:30:00+00:00,23505.0,23510.0,23380.0,23395.0,266474
2026-01-21 02:35:00+00:00,23395.0,23530.0,23390.0,23470.0,320606
2026-01-21 02:40:00+00:00,23480.0,23515.0,23415.0,23480.0,231565
2026-01-21 02:45:00+00:00,23480.0,23520.0,23425.0,23515.0,256564
2026-01-21 02:50:00+00:00,23515.0,23560.0,23495.0,23530.0,222442
2026-01-21 02:55:00+00:00,23530.0,23590.0,23530.0,23550.0,99938
2026-01-21 03:00:00+00:00,23550.0,23630.0,23515.0,23625.0,89564
2026-01-21 03:05:00+00:00,23625.0,23660.0,23600.0,23640.0,137486
2026-01-21 03:10:00+00:00,23640.0,23665.0,23605.0,23645.0,142977
2026-01-21 03:15:00+00:00,23635.0,23705.0,23625.0,23700.0,91654
2026-01-21 03:20:00+00:00,23700.0,23745.0,23690.0,23730.0,98670
2026-01-21 03:25:00+00:00,23725.0,23750.0,23700.0,23725.0,107059
2026-01-21 03:30:00+00:00,23740.0,23750.0,23715.0,23745.0,98457
2026-01-21 03:35:00+00:00,23745.0,23755.0,23705.0,23720.0,60892
2026-01-21 03:40:00+00:00,23720.0,23725.0,23665.0,23700.0,66403
2026-01-21 03:45:00+00:00,23700.0,23720.0,23665.0,23700.0,60504
2026-01-21 03:50:00+00:00,23700.0,23710.0,23655.0,23665.0,71355
2026-01-21 03:55:00+00:00,23660.0,23685.0,23605.0,23640.0,213627
2026-01-21 04:00:00+00:00,23635.0,23655.0,23615.0,23650.0,146754
2026-01-21 04:05:00+00:00,23650.0,23665.0,23590.0,23615.0,167714
2026-01-21 04:10:00+00:00,23605.0,23690.0,23605.0,23680.0,142305
2026-01-21 04:15:00+00:00,23680.0,23680.0,23630.0,23660.0,118486
2026-01-21 04:20:00+00:00,23665.0,23700.0,23640.0,23700.0,69103
2026-01-21 04:25:00+00:00,23700.0,23770.0,23700.0,23770.0,88570
2026-01-21 04:30:00+00:00,23770.0,23815.0,23750.0,23765.0,143922
2026-01-21 04:35:00+00:00,23775.0,23815.0,23765.0,23800.0,85552
2026-01-21 04:40:00+00:00,23800.0,23805.0,23765.0,23785.0,123040
2026-01-21 04:45:00+00:00,23785.0,23800.0,23775.0,23790.0,102061
2026-01-21 04:50:00+00:00,23790.0,23800.0,23770.0,23775.0,73915
2026-01-21 04:55:00+00:00,23775.0,23775.0,23700.0,23710.0,234299
2026-01-21 05:00:00+00:00,23710.0,23765.0,23700.0,23755.0,132932
2026-01-21 05:05:00+00:00,23755.0,23770.0,23720.0,23740.0,86657
2026-01-21 05:10:00+00:00,23735.0,23800.0,23725.0,23790.0,75754
2026-01-21 05:15:00+00:00,23800.0,23805.0,23770.0,23785.0,88105
2026-01-21 05:20:00+00:00,23785.0,23825.0,23780.0,23790.0,61374
2026-01-21 05:25:00+00:00,23780.0,23790.0,23705.0,23765.0,113541
2026-01-21 05:30:00+00:00,23765.0,23820.0,23750.0,23815.0,94136
2026-01-21 05:35:00+00:00,23815.0,23830.0,23780.0,23815.0,144975
2026-01-21 05:40:00+00:00,23820.0,23875.0,23810.0,23860.0,122890
2026-01-21 05:45:00+00:00,23870.0,23915.0,23855.0,23910.0,135092
2026-01-21 05:50:00+00:00,23915.0,23950.0,23910.0,23930.0,257314
2026-01-21 05:55:00+00:00,23930.0,23935.0,23865.0,23880.0,76145
2026-01-22 00:00:00+00:00,24580.0,24590.0,24495.0,24525.0,1106573
2026-01-22 00:05:00+00:00,24520.0,24615.0,24510.0,24605.0,498513
2026-01-22 00:10:00+00:00,24605.0,24620.0,24445.0,24450.0,497913
2026-01-22 00:15:00+00:00,24450.0,24535.0,24375.0,24450.0,374275
2026-01-22 00:20:00+00:00,24460.0,24520.0,24425.0,24505.0,230064
2026-01-22 00:25:00+00:00,24495.0,24545.0,24485.0,24530.0,214560
2026-01-22 00:30:00+00:00,24530.0,24545.0,24380.0,24385.0,204589
2026-01-22 00:35:00+00:00,24395.0,24395.0,24265.0,24300.0,303972
2026-01-22 00:40:00+00:00,24310.0,24435.0,24280.0,24435.0,329651
2026-01-22 00:45:00+00:00,24435.0,24455.0,24320.0,24350.0,271221
2026-01-22 00:50:00+00:00,24350.0,24400.0,24310.0,24320.0,244900
2026-01-22 00:55:00+00:00,24315.0,24370.0,24280.0,24370.0,276194
2026-01-22 01:00:00+00:00,24375.0,24385.0,24320.0,24355.0,200091
2026-01-22 01:05:00+00:00,24355.0,24390.0,24280.0,24300.0,200278
2026-01-22 01:10:00+00:00,24305.0,24315.0,24260.0,24290.0,105763
2026-01-22 01:15:00+00:00,24300.0,24440.0,24280.0,24430.0,260414
2026-01-22 01:20:00+00:00,24420.0,24470.0,24420.0,24450.0,261537
2026-01-22 01:25:00+00:00,24455.0,24460.0,24410.0,24440.0,275276
2026-01-22 01:30:00+00:00,24430.0,24530.0,24430.0,24520.0,366340
2026-01-22 01:35:00+00:00,24525.0,24530.0,24470.0,24490.0,315722
2026-01-22 01:40:00+00:00,24485.0,24525.0,24470.0,24525.0,145511
2026-01-22 01:45:00+00:00,24525.0,24530.0,24455.0,24455.0,83241
2026-01-22 01:50:00+00:00,24455.0,24520.0,24445.0,24510.0,106572
2026-01-22 01:55:00+00:00,24510.0,24530.0,24460.0,24480.0,175436
2026-01-22 02:00:00+00:00,24480.0,24505.0,24435.0,24505.0,144176
2026-01-22 02:05:00+00:00,24500.0,24530.0,24465.0,24480.0,107331
2026-01-22 02:10:00+00:00,24495.0,24500.0,24465.0,24475.0,166035
2026-01-22 02:15:00+00:00,24485.0,24525.0,24475.0,24520.0,90511
2026-01-22 02:20:00+00:00,24520.0,24530.0,24505.0,24510.0,73560
2026-01-22 02:25:00+00:00,24507.0,24550.0,24500.0,24545.0,105729
2026-01-22 02:30:00+00:00,24545.0,24545.0,24440.0,24465.0,81428
2026-01-22 02:35:00+00:00,24460.0,24475.0,24420.0,24450.0,58018
2026-01-22 02:40:00+00:00,24450.0,24480.0,24430.0,24445.0,38444
2026-01-22 02:45:00+00:00,24445.0,24480.0,24425.0,24480.0,54439
2026-01-22 02:50:00+00:00,24480.0,24500.0,24450.0,24470.0,71876
2026-01-22 02:55:00+00:00,24455.0,24495.0,24445.0,24455.0,32391
2026-01-22 03:00:00+00:00,24465.0,24495.0,24445.0,24485.0,71496
2026-01-22 03:05:00+00:00,24480.0,24495.0,24460.0,24475.0,52367
2026-01-22 03:10:00+00:00,24470.0,24485.0,24450.0,24470.0,94943
2026-01-22 03:15:00+00:00,24470.0,24475.0,24455.0,24455.0,40254
2026-01-22 03:20:00+00:00,24460.0,24480.0,24440.0,24475.0,195640
2026-01-22 03:25:00+00:00,24475.0,24480.0,24440.0,24450.0,79886
2026-01-22 03:30:00+00:00,24455.0,24465.0,24415.0,24425.0,65771
2026-01-22 03:35:00+00:00,24425.0,24425.0,24365.0,24385.0,140269
2026-01-22 03:40:00+00:00,24385.0,24405.0,24360.0,24375.0,197285
2026-01-22 03:45:00+00:00,24375.0,24425.0,24350.0,24390.0,64779
2026-01-22 03:50:00+00:00,24405.0,24420.0,24380.0,24410.0,54647
2026-01-22 03:55:00+00:00,24415.0,24420.0,24360.0,24400.0,127170
2026-01-22 04:00:00+00:00,24395.0,24400.0,24365.0,24375.0,77418
2026-01-22 04:05:00+00:00,24375.0,24415.0,24360.0,24415.0,161382
2026-01-22 04:10:00+00:00,24400.0,24420.0,24370.0,24390.0,144896
2026-01-22 04:15:00+00:00,24400.0,24405.0,24325.0,24360.0,76388
2026-01-22 04:20:00+00:00,24360.0,24450.0,24350.0,24430.0,85448
2026-01-22 04:25:00+00:00,24435.0,24440.0,24380.0,24420.0,112724
2026-01-22 04:30:00+00:00,24420.0,24480.0,24405.0,24480.0,83665
2026-01-22 04:35:00+00:00,24480.0,24485.0,24425.0,24430.0,92886
2026-01-22 04:40:00+00:00,24430.0,24475.0,24425.0,24475.0,188410
2026-01-22 04:45:00+00:00,24475.0,24480.0,24420.0,24435.0,156744
2026-01-22 04:50:00+00:00,24435.0,24440.0,24420.0,24430.0,66900
2026-01-22 04:55:00+00:00,24440.0,24475.0,24430.0,24455.0,130600
2026-01-22 05:00:00+00:00,24455.0,24475.0,24450.0,24465.0,81592
2026-01-22 05:05:00+00:00,24455.0,24475.0,24445.0,24450.0,110505
2026-01-22 05:10:00+00:00,24450.0,24475.0,24435.0,24455.0,83015
2026-01-22 05:15:00+00:00,24455.0,24475.0,24430.0,24465.0,92023
2026-01-22 05:20:00+00:00,24465.0,24465.0,24405.0,24435.0,192874
2026-01-22 05:25:00+00:00,24435.0,24440.0,24390.0,24390.0,96421
2026-01-22 05:30:00+00:00,24400.0,24400.0,24345.0,24355.0,198538
2026-01-22 05:35:00+00:00,24360.0,24365.0,24320.0,24320.0,99919
2026-01-22 05:40:00+00:00,24335.0,24350.0,24285.0,24310.0,148779
2026-01-22 05:45:00+00:00,24310.0,24345.0,24290.0,24340.0,200470
2026-01-22 05:50:00+00:00,24340.0,24355.0,24220.0,24240.0,191164
2026-01-22 05:55:00+00:00,24235.0,24260.0,24175.0,24190.0,201196
2026-01-23 00:00:00+00:00,24285.0,24350.0,24135.0,24255.0,298675
2026-01-23 00:05:00+00:00,24255.0,24340.0,24140.0,24315.0,334877
2026-01-23 00:10:00+00:00,24335.0,24355.0,24255.0,24300.0,516904
2026-01-23 00:15:00+00:00,24310.0,24345.0,24285.0,24340.0,316642
2026-01-23 00:20:00+00:00,24340.0,24425.0,24325.0,24420.0,347915
2026-01-23 00:25:00+00:00,24420.0,24435.0,24370.0,24380.0,304439
2026-01-23 00:30:00+00:00,24380.0,24420.0,24350.0,24350.0,178822
2026-01-23 00:35:00+00:00,24360.0,24390.0,24340.0,24365.0,111921
2026-01-23 00:40:00+00:00,24360.0,24395.0,24325.0,24345.0,160617
2026-01-23 00:45:00+00:00,24345.0,24360.0,24325.0,24335.0,120874
2026-01-23 00:50:00+00:00,24335.0,24390.0,24335.0,24370.0,85169
2026-01-23 00:55:00+00:00,24365.0,24365.0,24290.0,24300.0,132128
2026-01-23 01:00:00+00:00,24300.0,24375.0,24280.0,24370.0,214010
2026-01-23 01:05:00+00:00,24370.0,24370.0,24300.0,24310.0,90460
2026-01-23 01:10:00+00:00,24310.0,24330.0,24280.0,24285.0,102626
2026-01-23 01:15:00+00:00,24290.0,24325.0,24275.0,24325.0,214964
2026-01-23 01:20:00+00:00,24325.0,24365.0,24295.0,24295.0,248992
2026-01-23 01:25:00+00:00,24295.0,24300.0,24270.0,24275.0,66157
2026-01-23 01:30:00+00:00,24275.0,24285.0,24240.0,24260.0,114376
2026-01-23 01:35:00+00:00,24260.0,24260.0,24185.0,24185.0,103386
2026-01-23 01:40:00+00:00,24190.0,24220.0,24165.0,24180.0,224600
2026-01-23 01:45:00+00:00,24180.0,24190.0,24155.0,24190.0,137809
2026-01-23 01:50:00+00:00,24190.0,24225.0,24180.0,24180.0,164879
2026-01-23 01:55:00+00:00,24190.0,24200.0,24135.0,24155.0,140921
2026-01-23 02:00:00+00:00,24160.0,24185.0,24130.0,24155.0,181959
2026-01-23 02:05:00+00:00,24150.0,24165.0,24070.0,24115.0,336816
2026-01-23 02:10:00+00:00,24125.0,24210.0,24120.0,24195.0,126746
2026-01-23 02:15:00+00:00,24195.0,24220.0,24180.0,24215.0,83363
2026-01-23 02:20:00+00:00,24215.0,24255.0,24200.0,24250.0,108081
2026-01-23 02:25:00+00:00,24250.0,24300.0,24245.0,24300.0,184695
2026-01-23 02:30:00+00:00,24300.0,24315.0,24280.0,24310.0,123653
2026-01-23 02:35:00+00:00,24310.0,24330.0,24285.0,24325.0,61603
2026-01-23 02:40:00+00:00,24325.0,24335.0,24310.0,24325.0,84748
2026-01-23 02:45:00+00:00,24315.0,24340.0,24315.0,24330.0,48380
2026-01-23 02:50:00+00:00,24320.0,24340.0,24305.0,24330.0,53903
2026-01-23 02:55:00+00:00,24335.0,24335.0,24310.0,24310.0,30072
2026-01-23 03:00:00+00:00,24320.0,24350.0,24305.0,24335.0,67306
2026-01-23 03:05:00+00:00,24340.0,24390.0,24325.0,24330.0,179635
2026-01-23 03:10:00+00:00,24330.0,24340.0,24305.0,24310.0,103699
2026-01-23 03:15:00+00:00,24315.0,24360.0,24305.0,24340.0,86231
2026-01-23 03:20:00+00:00,24340.0,24360.0,24330.0,24335.0,134034
2026-01-23 03:25:00+00:00,24335.0,24340.0,24310.0,24315.0,95024
2026-01-23 03:30:00+00:00,24315.0,24330.0,24280.0,24295.0,50938
