trade_id,symbol,name,entry_date,entry_price,exit_date,exit_price,holding_period_days,holding_minutes,profit_loss,profit_rate,live_exit_reason,exit_class,backtest_rule,mapping_basis,strategy_horizon
179,217330,싸이토젠,2025-12-16 11:18:37,4980.0,2025-12-16 11:20:36,4845.0,0,,-1350.0,-2.71,"Hard Stop (-3%, -2.71%)",HARD_STOP,SL,손실 제한 — 백테스트 SL 과 동일 의미,INTRADAY
181,217330,싸이토젠,2025-12-16 12:18:58,5060.0,2025-12-16 12:28:01,5100.0,0,,40.0,0.79,ATR 트레일링 스탑 (+0.79%),TRAILING,TRAIL,고점 대비 되돌림 청산,INTRADAY
183,217330,싸이토젠,2025-12-16 12:29:04,5070.0,2025-12-16 12:35:05,5110.0,0,,160.0,0.79,ATR 트레일링 스탑 (+0.79%),TRAILING,TRAIL,고점 대비 되돌림 청산,INTRADAY
185,217330,싸이토젠,2025-12-16 12:38:08,5180.0,2025-12-16 12:51:27,5020.0,0,,-960.0,-3.09,"Hard Stop (-3%, -3.09%)",HARD_STOP,SL,손실 제한 — 백테스트 SL 과 동일 의미,INTRADAY
187,039860,나노엔텍,2025-12-16 13:03:36,4855.0,2025-12-16 13:08:37,4825.0,0,,-210.0,-0.62,ATR 트레일링 스탑 (-0.62%),TRAILING,TRAIL,고점 대비 되돌림 청산,INTRADAY
190,295310,에이치브이엠,2025-12-18 12:54:07,41650.0,2025-12-18 13:54:42,41500.0,0,,-150.0,-0.36,다중 약화 신호 (VWAP↓+EMA3↓),STRUCTURE_WEAK,(대응 없음),구조/모멘텀 약화 — 백테스트에 대응 규칙 없음,INTRADAY
193,223250,드림씨아이에스,2025-12-19 10:38:48,7610.0,2025-12-19 10:58:01,7430.0,0,,-720.0,-2.37,"🚨 Early Failure Cut (19.2분, -2.37%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY
195,124500,아이티센글로벌,2025-12-23 10:03:57,31000.0,2025-12-23 15:13:09,31400.0,0,,400.0,1.29,"시간 기반 청산 (15:00, +1.29%)",TIME_EXIT,MAX_HOLD,보유 기간 상한 — 일봉 MAX_HOLD 와 동일 의미,INTRADAY
199,049630,재영솔루텍,2025-12-26 10:30:09,4175.0,2025-12-26 10:35:11,4105.0,0,,-490.0,-1.68,"🚨 Early Failure Cut (5.0분, -1.68%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY
203,489500,엘케이켐,2025-12-30 10:59:25,35850.0,2025-12-30 11:04:27,35100.0,0,,-750.0,-2.09,"🚨 Early Failure Cut (5.0분, -2.09%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY
204,250060,모비스,2025-12-30 10:56:23,3965.0,2025-12-30 11:05:28,3895.0,0,,-490.0,-1.77,"🚨 Early Failure Cut (9.1분, -1.77%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY
206,053700,삼보모터스,2025-12-30 14:04:47,6630.0,2025-12-30 14:08:48,6520.0,0,,-770.0,-1.66,"🚨 Early Failure Cut (4.0분, -1.66%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY
213,318060,그래피,2026-01-02 11:45:42,27900.0,2026-01-02 14:00:15,28150.0,0,,750.0,0.9,Squeeze: dark_red 모멘텀 반전 (+0.90%),STRUCTURE_WEAK,(대응 없음),구조/모멘텀 약화 — 백테스트에 대응 규칙 없음,INTRADAY
215,452160,제이엔비,2026-01-06 14:43:06,7780.0,2026-01-06 15:00:44,7750.0,0,,-240.0,-0.39,"시간 기반 청산 (15:00, -0.39%)",TIME_EXIT,MAX_HOLD,보유 기간 상한 — 일봉 MAX_HOLD 와 동일 의미,INTRADAY
217,489500,엘케이켐,2026-01-06 15:00:45,32900.0,2026-01-06 15:01:45,32800.0,0,,-100.0,-0.3,"시간 기반 청산 (15:00, -0.30%)",TIME_EXIT,MAX_HOLD,보유 기간 상한 — 일봉 MAX_HOLD 와 동일 의미,INTRADAY
221,368770,파이버프로,2026-01-07 13:27:44,13950.0,2026-01-07 14:35:19,14070.0,0,,600.0,0.86,Squeeze: dark_red 모멘텀 반전 (+0.86%),STRUCTURE_WEAK,(대응 없음),구조/모멘텀 약화 — 백테스트에 대응 규칙 없음,INTRADAY
222,489500,엘케이켐,2026-01-07 14:27:17,32450.0,2026-01-07 14:58:34,31750.0,0,,-1400.0,-2.16,"Hard Stop (-2.0%, -2.16%) [부분청산 0차]",HARD_STOP,SL,손실 제한 — 백테스트 SL 과 동일 의미,INTRADAY
225,368770,파이버프로,2026-01-08 11:15:38,14190.0,2026-01-08 11:55:01,13870.0,0,,-1280.0,-2.26,"Hard Stop (-2.0%, -2.26%) [부분청산 0차]",HARD_STOP,SL,손실 제한 — 백테스트 SL 과 동일 의미,INTRADAY
